         25795148 function calls (25680490 primitive calls) in 13.861 seconds

   Ordered by: cumulative time
   List reduced from 1111 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.672    0.672   13.862   13.862 runtime.py:1148(main)
      127    0.026    0.000    3.171    0.025 ingame_ui.py:2705(draw)
      127    0.011    0.000    2.185    0.017 ingame_ui.py:2008(_get_visible_troop_badges)
      103    0.431    0.004    2.064    0.020 gui.py:341(gui_mergetroopbadgeentries)
      102    0.009    0.000    1.850    0.018 director.py:218(executeturn)
 11223850    1.748    0.000    1.748    0.000 {method 'get' of 'dict' objects}
  2182261    0.690    0.000    1.289    0.000 movement.py:31(getprovincecontroller)
    12181    0.025    0.000    1.103    0.000 {built-in method builtins.sum}
      127    0.621    0.005    1.022    0.008 ingame_ui.py:2059(sync)
        2    0.000    0.000    0.937    0.468 core.py:47(loadsvgshapes)
    22610    0.936    0.000    0.936    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      102    0.001    0.000    0.912    0.009 economy.py:91(applyendturneconomy)
     4956    0.329    0.000    0.908    0.000 economy.py:104(<genexpr>)
        3    0.882    0.294    0.892    0.297 {built-in method _pickle.load}
        2    0.000    0.000    0.882    0.441 eso.py:34(loadcache)
      114    0.373    0.003    0.872    0.008 index.py:29(rebuild)
      103    0.003    0.000    0.802    0.008 director.py:202(rebuildcountryindexes)
   271329    0.492    0.000    0.716    0.000 gui.py:279(gui_shouldmergetroopbadgerects)
      103    0.198    0.002    0.625    0.006 eso.py:185(buildcountryborderentries)
      254    0.274    0.001    0.587    0.002 motion.py:226(draw)
      102    0.266    0.003    0.557    0.005 gui.py:311(gui_gettroopbadgecandidatepairs)
      918    0.120    0.000    0.525    0.001 defense.py:87(movereservestotargets)
      990    0.004    0.000    0.445    0.000 defense.py:215(buildupborderforceswhenidle)
     5975    0.262    0.000    0.414    0.000 movement.py:289(findprovincepath)
      102    0.001    0.000    0.407    0.004 runtime.py:2686(checkcapitulations)
      102    0.181    0.002    0.405    0.004 runtime.py:1938(buildwarcountrymetrics)
      102    0.185    0.002    0.389    0.004 gui.py:1527(gui_drawmovementorderpaths)
      103    0.246    0.002    0.362    0.004 gui.py:1661(gui_drawcountryborders)
    89357    0.353    0.000    0.353    0.000 {built-in method pygame.draw.polygon}
     1020    0.023    0.000    0.311    0.000 invasion.py:194(invadecountry)
  2129389    0.254    0.000    0.254    0.000 {built-in method builtins.max}
      102    0.003    0.000    0.236    0.002 runtime.py:3549(advancedomesticturneffects)
