         40289914 function calls (40111032 primitive calls) in 24.195 seconds

   Ordered by: cumulative time
   List reduced from 1111 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.176    1.176   24.196   24.196 runtime.py:1148(main)
      102    0.013    0.000    7.469    0.073 director.py:218(executeturn)
      199    0.044    0.000    4.055    0.020 ingame_ui.py:2705(draw)
      114    1.540    0.014    3.945    0.035 index.py:29(rebuild)
 20561767    3.843    0.000    3.843    0.000 {method 'get' of 'dict' objects}
      103    0.004    0.000    3.561    0.035 director.py:202(rebuildcountryindexes)
  4370651    1.787    0.000    3.249    0.000 movement.py:31(getprovincecontroller)
      199    0.017    0.000    2.566    0.013 ingame_ui.py:2008(_get_visible_troop_badges)
      102    0.555    0.005    2.326    0.023 gui.py:303(gui_mergetroopbadgeentries)
     1020    0.651    0.001    1.875    0.002 invasion.py:194(invadecountry)
    18957    0.039    0.000    1.450    0.000 {built-in method builtins.sum}
      199    0.741    0.004    1.262    0.006 ingame_ui.py:2059(sync)
   269094    0.515    0.000    1.217    0.000 gui.py:279(gui_shouldmergetroopbadgerects)
    32556    1.158    0.000    1.158    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      102    0.001    0.000    1.128    0.011 economy.py:91(applyendturneconomy)
     4956    0.383    0.000    1.123    0.000 economy.py:104(<genexpr>)
        2    0.000    0.000    0.942    0.471 core.py:47(loadsvgshapes)
        3    0.873    0.291    0.887    0.296 {built-in method _pickle.load}
        2    0.000    0.000    0.879    0.439 eso.py:34(loadcache)
  1209370    0.499    0.000    0.877    0.000 movement.py:35(getprovinceowner)
      103    0.240    0.002    0.799    0.008 eso.py:185(buildcountryborderentries)
      103    0.001    0.000    0.793    0.008 director.py:343(_refreshprovincetroopsintel)
      918    0.167    0.000    0.780    0.001 defense.py:87(movereservestotargets)
      103    0.606    0.006    0.773    0.008 strength.py:22(refreshintel)
      990    0.006    0.000    0.681    0.001 defense.py:215(buildupborderforceswhenidle)
   124355    0.622    0.000    0.622    0.000 {built-in method pygame.draw.polygon}
     5469    0.396    0.000    0.621    0.000 movement.py:289(findprovincepath)
      102    0.001    0.000    0.583    0.006 runtime.py:2683(checkcapitulations)
      102    0.259    0.003    0.581    0.006 runtime.py:1935(buildwarcountrymetrics)
      398    0.267    0.001    0.556    0.001 motion.py:226(draw)
   269094    0.338    0.000    0.496    0.000 gui.py:268(gui_getoverlapratio)
       99    0.239    0.002    0.464    0.005 gui.py:1490(gui_drawmovementorderpaths)
     1020    0.002    0.000    0.463    0.000 defense.py:235(reacttoinvasion)
      103    0.307    0.003    0.455    0.004 gui.py:1624(gui_drawcountryborders)
      199    0.001    0.000    0.445    0.002 runtime.py:3448(builddomesticaffairsviewdata)
      199    0.015    0.000    0.443    0.002 domestic.py:1660(build_domestic_affairs_view)
   237376    0.342    0.000    0.410    0.000 camera.py:48(getscreenrectangle)
  2663201    0.405    0.000    0.405    0.000 {built-in method builtins.max}
       30    0.000    0.000    0.354    0.012 index.py:117(invadedprovinceids)
      220    0.018    0.000    0.334    0.002 invasion.py:32(buildattackplans)
      995    0.012    0.000    0.331    0.000 runtime.py:386(blitblackworldslice)
     3033    0.028    0.000    0.314    0.000 domestic.py:679(legislature_totals)
     1013    0.038    0.000    0.309    0.000 domestic.py:701(refresh_government_state)
      102    0.004    0.000    0.290    0.003 runtime.py:3546(advancedomesticturneffects)
      419    0.005    0.000    0.288    0.001 sysfont.py:428(SysFont)
  1669476    0.283    0.000    0.283    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
      102    0.011    0.000    0.283    0.003 domestic.py:1571(advance_domestic_affairs_turn)
      199    0.050    0.000    0.231    0.001 ingame_ui.py:83(draw)
      199    0.039    0.000    0.227    0.001 gui.py:1378(gui_drawcountrylabels)
      199    0.001    0.000    0.225    0.001 api.py:147(draw_script_ui)
      199    0.018    0.000    0.224    0.001 scriptloader.py:694(drawui)
    33491    0.140    0.000    0.223    0.000 ingame_ui.py:2009(<genexpr>)
1745921/1741523    0.213    0.000    0.223    0.000 {built-in method builtins.isinstance}
  1241631    0.202    0.000    0.217    0.000 {built-in method builtins.min}
      212    0.213    0.001    0.213    0.001 {built-in method pygame.transform.scale}
      266    0.038    0.000    0.212    0.001 movement.py:1109(getsharedbordersegments)
    49153    0.066    0.000    0.207    0.000 runtime.py:980(getcachedscreenpolygon)
      199    0.007    0.000    0.207    0.001 scriptloader.py:193(draw)
      199    0.003    0.000    0.204    0.001 ingame_ui.py:892(_draw_command_atmosphere)
      199    0.046    0.000    0.201    0.001 motion.py:290(draw)
      199    0.073    0.000    0.199    0.001 focustree.py:428(viewdata)
   127086    0.117    0.000    0.188    0.000 domestic.py:607(party_side)
      301    0.003    0.000    0.187    0.001 runtime.py:3462(refreshfocustreecontext)
     8582    0.181    0.000    0.181    0.000 {method 'render' of 'pygame.font.Font' objects}
      398    0.005    0.000    0.174    0.000 domestic.py:1084(calculate_policy_passing_chance)
      301    0.021    0.000    0.173    0.001 domestic.py:782(build_focus_context)
    13606    0.017    0.000    0.171    0.000 defense.py:45(frontlinedesiredtroops)
      171    0.051    0.000    0.166    0.001 runtime.py:2937(getcombatprovinceidset)
      419    0.138    0.000    0.163    0.000 sysfont.py:373(font_constructor)
     1176    0.021    0.000    0.151    0.000 ingame_ui.py:1140(_draw_resource_chip)
        1    0.054    0.054    0.149    0.149 runtime.py:3084(perfspawnwarsforsources)
    13606    0.053    0.000    0.148    0.000 defense.py:28(estimateadjacentenemythreat)
        1    0.143    0.143    0.143    0.143 {built-in method pygame.base.init}
     3515    0.041    0.000    0.142    0.000 motion.py:84(draw_soft_glow)
     1551    0.013    0.000    0.141    0.000 gui.py:1258(gui_drawtroopcountbadge)
    23533    0.139    0.000    0.139    0.000 {built-in method pygame.draw.rect}
    94776    0.132    0.000    0.132    0.000 {built-in method pygame.draw.line}
    27478    0.055    0.000    0.132    0.000 {built-in method builtins.sorted}
    15915    0.053    0.000    0.129    0.000 gui.py:106(gui_gettroopbadgevisualrect)
    92980    0.072    0.000    0.126    0.000 domestic.py:603(party_seats)


